,pairing,moment
136,"[(5, 9), (4, 7), (2, 6), (1, 3), (0, 8)]",0.10961792341646198
137,"[(6, 9), (3, 5), (2, 8), (1, 4), (0, 7)]",0.10973024352001631
138,"[(6, 7), (4, 9), (2, 8), (1, 5), (0, 3)]",0.10998062741591462
139,"[(4, 9), (3, 5), (2, 6), (1, 8), (0, 7)]",0.11004080916038597
140,"[(7, 8), (4, 9), (2, 6), (1, 5), (0, 3)]",0.11013971670567825
141,"[(5, 9), (4, 8), (2, 3), (1, 6), (0, 7)]",0.11036436016272358
142,"[(4, 6), (3, 7), (2, 9), (1, 8), (0, 5)]",0.11072556070913445
143,"[(4, 9), (3, 6), (2, 5), (1, 7), (0, 8)]",0.1108097472836607
144,"[(5, 9), (4, 7), (3, 8), (2, 6), (0, 1)]",0.11103444135793294
145,"[(5, 8), (4, 9), (3, 7), (1, 2), (0, 6)]",0.1117228318984275
146,"[(6, 9), (3, 4), (2, 8), (1, 7), (0, 5)]",0.11200696082532072
147,"[(4, 7), (3, 8), (2, 6), (1, 5), (0, 9)]",0.1125777172451313
148,"[(6, 9), (4, 8), (2, 3), (1, 7), (0, 5)]",0.11311834063095452
149,"[(5, 9), (3, 7), (2, 4), (1, 6), (0, 8)]",0.11373464774290085
150,"[(6, 9), (4, 8), (3, 7), (2, 5), (0, 1)]",0.11392325206242633
151,"[(5, 9), (3, 4), (2, 7), (1, 8), (0, 6)]",0.11404007154891627
152,"[(8, 9), (3, 7), (2, 5), (1, 6), (0, 4)]",0.11447849898470544
153,"[(7, 9), (5, 8), (2, 6), (1, 4), (0, 3)]",0.11451082787501325
154,"[(6, 8), (3, 7), (2, 5), (1, 9), (0, 4)]",0.11475169904652802
155,"[(6, 9), (5, 7), (2, 8), (1, 4), (0, 3)]",0.11572290855735488
156,"[(5, 8), (3, 4), (2, 9), (1, 7), (0, 6)]",0.11617632426249914
157,"[(5, 9), (3, 4), (2, 8), (1, 6), (0, 7)]",0.11623406103522865
158,"[(5, 7), (4, 9), (2, 8), (1, 3), (0, 6)]",0.11694345069515284
159,"[(5, 9), (4, 8), (3, 6), (1, 2), (0, 7)]",0.11718303204956641
160,"[(5, 8), (4, 9), (3, 7), (2, 6), (0, 1)]",0.11764760453527795
161,"[(4, 6), (3, 8), (2, 7), (1, 9), (0, 5)]",0.1179649664657624
162,"[(5, 6), (3, 8), (2, 9), (1, 7), (0, 4)]",0.11796574212467395
163,"[(5, 8), (3, 7), (2, 6), (1, 4), (0, 9)]",0.11866538209905472
164,"[(6, 8), (3, 9), (2, 4), (1, 7), (0, 5)]",0.11898550716441857
165,"[(6, 7), (3, 9), (2, 8), (1, 4), (0, 5)]",0.11978153683913811
166,"[(4, 7), (3, 5), (2, 9), (1, 8), (0, 6)]",0.12069745822973903
167,"[(6, 8), (5, 9), (2, 7), (1, 4), (0, 3)]",0.12094305663097754
168,"[(6, 9), (4, 8), (2, 5), (1, 3), (0, 7)]",0.12176645748317327
169,"[(4, 5), (3, 8), (2, 9), (1, 7), (0, 6)]",0.12220908694289659
170,"[(6, 7), (3, 8), (2, 9), (1, 5), (0, 4)]",0.12355155757643005
171,"[(5, 9), (4, 7), (3, 6), (1, 8), (0, 2)]",0.12408418074070617
172,"[(7, 9), (3, 8), (2, 4), (1, 6), (0, 5)]",0.1246645270179032
173,"[(8, 9), (3, 6), (2, 7), (1, 5), (0, 4)]",0.12478138501780914
174,"[(6, 9), (4, 8), (3, 7), (1, 2), (0, 5)]",0.1248818534678821
175,"[(7, 9), (4, 8), (2, 6), (1, 3), (0, 5)]",0.12659981846933263
176,"[(5, 8), (4, 9), (2, 3), (1, 7), (0, 6)]",0.12966990161432485
177,"[(4, 8), (3, 6), (2, 7), (1, 5), (0, 9)]",0.13723622095284993
178,"[(8, 9), (4, 7), (2, 6), (1, 3), (0, 5)]",0.13763371093049134
179,"[(5, 9), (4, 7), (2, 3), (1, 6), (0, 8)]",0.14003008846770543
180,"[(8, 9), (4, 7), (2, 6), (1, 5), (0, 3)]",0.14086156634369867
181,"[(5, 7), (4, 9), (3, 8), (1, 2), (0, 6)]",0.14134687908291244
182,"[(5, 7), (3, 8), (2, 6), (1, 4), (0, 9)]",0.1422020739219393
183,"[(7, 8), (3, 9), (2, 5), (1, 6), (0, 4)]",0.14234139181371863
184,"[(8, 9), (3, 7), (2, 4), (1, 6), (0, 5)]",0.14608479029115162
185,"[(7, 9), (5, 6), (2, 8), (1, 4), (0, 3)]",0.14629035613164665
186,"[(7, 8), (3, 5), (2, 9), (1, 6), (0, 4)]",0.14701688693320503
187,"[(4, 5), (3, 9), (2, 6), (1, 8), (0, 7)]",0.1502091843359742
188,"[(5, 7), (4, 6), (2, 9), (1, 8), (0, 3)]",0.15111988873288346
189,"[(8, 9), (4, 6), (2, 7), (1, 5), (0, 3)]",0.15248119493910237
190,"[(8, 9), (4, 7), (3, 6), (1, 5), (0, 2)]",0.15413425515835621
191,"[(6, 8), (3, 4), (2, 9), (1, 7), (0, 5)]",0.15479581394631015
192,"[(4, 7), (3, 6), (2, 5), (1, 9), (0, 8)]",0.1549559332428247
193,"[(8, 9), (3, 5), (2, 7), (1, 6), (0, 4)]",0.15619983775334148
194,"[(5, 7), (3, 4), (2, 9), (1, 8), (0, 6)]",0.1562551064626322
195,"[(5, 8), (4, 7), (2, 6), (1, 3), (0, 9)]",0.15634920489617657
196,"[(6, 7), (4, 9), (2, 8), (1, 3), (0, 5)]",0.15645708299249
197,"[(4, 8), (3, 5), (2, 7), (1, 6), (0, 9)]",0.1575023249341827
198,"[(5, 9), (4, 6), (2, 3), (1, 8), (0, 7)]",0.1579681225660889
199,"[(7, 9), (4, 8), (3, 6), (2, 5), (0, 1)]",0.15829232150851752
200,"[(7, 8), (4, 6), (2, 9), (1, 5), (0, 3)]",0.158489766263448
201,"[(6, 9), (3, 5), (2, 4), (1, 8), (0, 7)]",0.1585514615145556
202,"[(5, 6), (3, 8), (2, 7), (1, 9), (0, 4)]",0.15862498941328526
203,"[(4, 5), (3, 7), (2, 9), (1, 8), (0, 6)]",0.15974311101083974
204,"[(6, 9), (4, 5), (3, 8), (1, 7), (0, 2)]",0.1599007473336244
205,"[(6, 8), (5, 7), (2, 9), (1, 4), (0, 3)]",0.1599601214424987
206,"[(8, 9), (5, 7), (2, 6), (1, 4), (0, 3)]",0.16004841314771734
207,"[(6, 7), (4, 9), (3, 8), (1, 5), (0, 2)]",0.16005833269326986
208,"[(7, 9), (4, 8), (3, 6), (1, 2), (0, 5)]",0.1601784809888957
209,"[(5, 6), (3, 9), (2, 4), (1, 8), (0, 7)]",0.1603900206155987
210,"[(6, 9), (4, 8), (3, 5), (1, 2), (0, 7)]",0.1608412485526902
211,"[(5, 9), (4, 7), (3, 6), (1, 2), (0, 8)]",0.1608757521180481
212,"[(4, 5), (3, 9), (2, 7), (1, 6), (0, 8)]",0.16133350555374373
213,"[(4, 8), (3, 6), (2, 5), (1, 7), (0, 9)]",0.16163869542709222
214,"[(6, 8), (4, 9), (3, 7), (1, 2), (0, 5)]",0.16208969116503114
215,"[(6, 8), (4, 5), (2, 9), (1, 7), (0, 3)]",0.16289489682793465
216,"[(5, 8), (4, 7), (3, 9), (2, 6), (0, 1)]",0.16318647326560184
217,"[(5, 8), (4, 7), (3, 9), (1, 2), (0, 6)]",0.16364958686224013
218,"[(5, 6), (3, 9), (2, 7), (1, 4), (0, 8)]",0.16428059889239294
219,"[(5, 6), (4, 9), (2, 8), (1, 3), (0, 7)]",0.16431721990944065
220,"[(5, 8), (3, 4), (2, 7), (1, 9), (0, 6)]",0.1645609600595398
221,"[(8, 9), (3, 7), (2, 5), (1, 4), (0, 6)]",0.16457631096997627
222,"[(6, 9), (4, 8), (3, 5), (2, 7), (0, 1)]",0.1654185689720315
223,"[(6, 9), (3, 4), (2, 8), (1, 5), (0, 7)]",0.1654375061188163
224,"[(7, 9), (6, 8), (2, 5), (1, 4), (0, 3)]",0.165991223066495
